Timestamp,Participant_ID,Verb,Verb_Type,Task_Block,Rating,Rating_Normalized,Rating_Beta
59:46.7,9455,देखना,factive,Projection,100,1,0.999094203
59:53.9,9455,सोचना,non-factive,Projection,0,0,0.000905797
59:59.5,9455,बताना,non-factive,Projection,100,1,0.999094203
20:51.0,3156,याद होना,factive,At-issueness,0,0,0.000905797
21:04.8,3156,सुनना,factive,At-issueness,0,0,0.000905797
21:14.0,3156,सोचना,non-factive,At-issueness,7,0.07,0.070778986
21:20.1,3156,समझना,factive,At-issueness,3,0.03,0.030851449
21:27.1,3156,मानना,non-factive,At-issueness,3,0.03,0.030851449
21:35.4,3156,लगना,non-factive,At-issueness,3,0.03,0.030851449
21:41.8,3156,देखना,factive,At-issueness,0,0,0.000905797
21:45.7,3156,बताना,non-factive,At-issueness,0,0,0.000905797
21:51.9,3156,पता चलना,factive,At-issueness,0,0,0.000905797
22:11.7,3156,कहना,non-factive,At-issueness,0,0,0.000905797
22:14.9,3156,पूछना,non-factive,At-issueness,0,0,0.000905797
22:19.3,3156,जानना,factive,At-issueness,0,0,0.000905797
22:38.4,3156,याद होना,factive,Projection,100,1,0.999094203
22:47.5,3156,सुनना,factive,Projection,100,1,0.999094203
22:55.4,3156,सोचना,non-factive,Projection,19,0.19,0.190561594
23:13.9,3156,समझना,factive,Projection,4,0.04,0.040833333
23:16.6,3156,मानना,non-factive,Projection,0,0,0.000905797
23:24.2,3156,लगना,non-factive,Projection,0,0,0.000905797
23:26.9,3156,देखना,factive,Projection,0,0,0.000905797
23:30.8,3156,बताना,non-factive,Projection,0,0,0.000905797
23:34.2,3156,पता चलना,factive,Projection,0,0,0.000905797
23:42.2,3156,कहना,non-factive,Projection,1,0.01,0.010887681
23:44.9,3156,पूछना,non-factive,Projection,0,0,0.000905797
23:47.7,3156,जानना,factive,Projection,0,0,0.000905797
00:00.2,7632,लगना,non-factive,At-issueness,100,1,0.999094203
00:32.2,7632,देखना,factive,At-issueness,100,1,0.999094203
00:42.9,7632,बताना,non-factive,At-issueness,78,0.78,0.779492754
00:51.5,7632,मानना,non-factive,At-issueness,100,1,0.999094203
01:17.9,7632,कहना,non-factive,At-issueness,100,1,0.999094203
01:28.5,7632,पता चलना,factive,At-issueness,100,1,0.999094203
01:32.9,7632,समझना,factive,At-issueness,100,1,0.999094203
01:35.6,7632,सुनना,factive,At-issueness,100,1,0.999094203
01:40.5,7632,पूछना,non-factive,At-issueness,100,1,0.999094203
01:43.7,7632,सोचना,non-factive,At-issueness,100,1,0.999094203
01:46.6,7632,जानना,factive,At-issueness,100,1,0.999094203
01:52.7,7632,याद होना,factive,At-issueness,100,1,0.999094203
01:56.2,7632,लगना,non-factive,Projection,100,1,0.999094203
02:06.3,7632,देखना,factive,Projection,83,0.83,0.829402174
02:11.4,7632,बताना,non-factive,Projection,100,1,0.999094203
02:25.6,7632,मानना,non-factive,Projection,76,0.76,0.759528986
02:34.4,7632,कहना,non-factive,Projection,100,1,0.999094203
02:48.8,7632,पता चलना,factive,Projection,50,0.5,0.5
03:00.7,7632,समझना,factive,Projection,62,0.62,0.619782609
03:03.2,7632,सुनना,factive,Projection,69,0.69,0.689655797
03:05.6,7632,पूछना,non-factive,Projection,83,0.83,0.829402174
03:08.1,7632,सोचना,non-factive,Projection,73,0.73,0.729583333
03:10.9,7632,जानना,factive,Projection,72,0.72,0.719601449
03:14.0,7632,याद होना,factive,Projection,74,0.74,0.739565217
17:19.0,9139,पूछना,non-factive,At-issueness,0,0,0.000905797
18:21.6,9139,समझना,factive,At-issueness,0,0,0.000905797
18:43.5,9139,लगना,non-factive,At-issueness,0,0,0.000905797
18:53.7,9139,बताना,non-factive,At-issueness,0,0,0.000905797
19:02.0,9139,कहना,non-factive,At-issueness,0,0,0.000905797
19:11.4,9139,सुनना,factive,At-issueness,0,0,0.000905797
19:17.1,9139,जानना,factive,At-issueness,0,0,0.000905797
19:29.6,9139,पता चलना,factive,At-issueness,0,0,0.000905797
19:37.0,9139,सोचना,non-factive,At-issueness,0,0,0.000905797
19:49.2,9139,मानना,non-factive,At-issueness,0,0,0.000905797
19:58.1,9139,याद होना,factive,At-issueness,0,0,0.000905797
20:08.3,9139,देखना,factive,At-issueness,0,0,0.000905797
20:23.9,9139,पूछना,non-factive,Projection,0,0,0.000905797
20:36.7,9139,समझना,factive,Projection,0,0,0.000905797
20:47.2,9139,लगना,non-factive,Projection,0,0,0.000905797
21:05.9,9139,बताना,non-factive,Projection,100,1,0.999094203
21:15.0,9139,कहना,non-factive,Projection,100,1,0.999094203
21:32.8,9139,सुनना,factive,Projection,100,1,0.999094203
21:42.1,9139,जानना,factive,Projection,100,1,0.999094203
21:49.1,9139,पता चलना,factive,Projection,100,1,0.999094203
22:10.0,9139,सोचना,non-factive,Projection,35,0.35,0.350271739
22:21.1,9139,मानना,non-factive,Projection,100,1,0.999094203
22:33.9,9139,याद होना,factive,Projection,100,1,0.999094203
22:44.0,9139,देखना,factive,Projection,100,1,0.999094203
30:11.2,7552,पूछना,non-factive,At-issueness,13,0.13,0.13067029
30:29.2,7552,कहना,non-factive,At-issueness,24,0.24,0.240471014
30:42.0,7552,मानना,non-factive,At-issueness,13,0.13,0.13067029
30:54.1,7552,समझना,factive,At-issueness,15,0.15,0.150634058
31:00.6,7552,देखना,factive,At-issueness,16,0.16,0.160615942
31:05.6,7552,याद होना,factive,At-issueness,15,0.15,0.150634058
31:12.0,7552,जानना,factive,At-issueness,15,0.15,0.150634058
31:20.6,7552,पता चलना,factive,At-issueness,11,0.11,0.110706522
31:27.3,7552,लगना,non-factive,At-issueness,10,0.1,0.100724638
31:28.6,7552,बताना,non-factive,At-issueness,50,0.5,0.5
31:36.6,7552,सुनना,factive,At-issueness,9,0.09,0.090742754
31:42.5,7552,सोचना,non-factive,At-issueness,10,0.1,0.100724638
31:57.9,7552,पूछना,non-factive,Projection,74,0.74,0.739565217
32:08.6,7552,कहना,non-factive,Projection,73,0.73,0.729583333
32:13.2,7552,मानना,non-factive,Projection,77,0.77,0.76951087
32:16.3,7552,समझना,factive,Projection,80,0.8,0.799456522
32:20.1,7552,देखना,factive,Projection,67,0.67,0.669692029
32:23.7,7552,याद होना,factive,Projection,72,0.72,0.719601449
32:26.7,7552,जानना,factive,Projection,66,0.66,0.659710145
32:30.1,7552,पता चलना,factive,Projection,81,0.81,0.809438406
32:33.4,7552,लगना,non-factive,Projection,75,0.75,0.749547101
32:36.4,7552,बताना,non-factive,Projection,76,0.76,0.759528986
32:39.6,7552,सुनना,factive,Projection,78,0.78,0.779492754
32:42.8,7552,सोचना,non-factive,Projection,74,0.74,0.739565217
32:10.5,7432,पता चलना,factive,Projection,0,0,0.000905797
32:24.3,7432,बताना,non-factive,Projection,100,1,0.999094203
32:37.2,7432,याद होना,factive,Projection,100,1,0.999094203
32:44.3,7432,मानना,non-factive,Projection,100,1,0.999094203
33:04.5,7432,कहना,non-factive,Projection,100,1,0.999094203
33:12.4,7432,सोचना,non-factive,Projection,0,0,0.000905797
33:19.8,7432,लगना,non-factive,Projection,50,0.5,0.5
33:28.8,7432,समझना,factive,Projection,27,0.27,0.270416667
33:37.1,7432,देखना,factive,Projection,47,0.47,0.470054348
33:50.0,7432,जानना,factive,Projection,100,1,0.999094203
34:00.7,7432,सुनना,factive,Projection,100,1,0.999094203
34:12.8,7432,पूछना,non-factive,Projection,50,0.5,0.5
34:26.9,7432,पता चलना,factive,At-issueness,100,1,0.999094203
34:33.3,7432,बताना,non-factive,At-issueness,100,1,0.999094203
34:48.3,7432,याद होना,factive,At-issueness,36,0.36,0.360253623
34:57.0,7432,मानना,non-factive,At-issueness,70,0.7,0.699637681
35:04.5,7432,कहना,non-factive,At-issueness,100,1,0.999094203
35:17.5,7432,सोचना,non-factive,At-issueness,32,0.32,0.320326087
35:25.2,7432,लगना,non-factive,At-issueness,50,0.5,0.5
35:40.4,7432,समझना,factive,At-issueness,68,0.68,0.679673913
35:47.3,7432,देखना,factive,At-issueness,56,0.56,0.559891304
35:53.5,7432,जानना,factive,At-issueness,59,0.59,0.589836957
36:01.4,7432,सुनना,factive,At-issueness,62,0.62,0.619782609
36:06.6,7432,पूछना,non-factive,At-issueness,100,1,0.999094203
